year,adopt a stray dog,adopt a stray cat,euthanize dog,euthanize cat
1974 ,1187 ,63 ,1159 ,63 
1979 ,993 ,122 ,975 ,118 
1984 ,890 ,260 ,869 ,244 
1989 ,707 ,341 ,687 ,328 
1994 ,493 ,301 ,469 ,297 
1997 ,458 ,304 ,433 ,299 
1998 ,425 ,307 ,399 ,303 
1999 ,398 ,292 ,372 ,288 
2000 ,362 ,298 ,335 ,295 
2001 ,312 ,276 ,287 ,275 
2002 ,281 ,276 ,256 ,274 
2003 ,244 ,273 ,217 ,273 
2004 ,219 ,268 ,193 ,267 
2005 ,199 ,266 ,174 ,267 
2006 ,181 ,237 ,156 ,239 
2007 ,164 ,229 ,139 ,227 
2008 ,142 ,232 ,113 ,228 
2009 ,130 ,206 ,99 ,201 
2010 ,113 ,202 ,82 ,194 
2011 ,94 ,178 ,64 ,166 
2012 ,85 ,164 ,52 ,153 
2013 ,78 ,143 ,44 ,131 
